id,release_date,names,likes,dislikes,views,duration
73,2022-04-25, Саша Ни Сева Ловкачев Ярослава Тринадцатко Костя Захарин Эльдар Гусейнов,24336,1368,665009,33
74,2022-04-30, Сева Ловкачев Дима Коваль Вера Котельникова Николай Андреев Денис Антипин,56010,905,1115920,41
75,2022-05-16, Дима Коваль Илья Бурков Ньургун Атаков Ариана Лолаева Денис Антипин,32634,900,661460,30.5
76,2022-05-21, Марат Секаев Самвел Гиновян Лука Хиникадзе Сергей Зорик Саша Киселев,25565,741,654233,43.5
77,2022-06-09, Эльдар Гусейнов Алексей Квашонкин Яся Тринадцатко Николай Андреев Костя Пушкин,50668,955,817630,52
78,2022-06-11, Кирилл Селегей Дима Колыбелкин Саша Малой Дима Гаврилов Артем Емельянов,34200,1362,894819,43.5
79,2022-06-08, Лиза Аранова Вера Котельникова Ариана Лолаева Ирина Приходько Яся Тринадцатко,41082,2959,737994,34
80,2022-06-25, Ваня Ильин Дима Коваль Алексей Шамутило Николай Андреев Филипп Воронин,65750,858,1091602,30
81,2022-07-09, Лиза Аранова Ольга Малащенко Ярослава Тринадцатко Туяна Хоровиц Вера Котельникова,32964,2959,648153,35
82,2022-07-24, Сева Ловкачев Женя Сидоров Алексей Квашонкин Эльдар Гусейнов Вова Бухаров,41162,1459,992018,55
83,2022-08-06, Андрей Айрапетов Артем Емельянов Миша Кострецов Соня Медовщикова Семен Деяк,23089,2635,559345,30.6
84,2022-08-20, Костя Пушкин Давид Квахаджелидзе Лев Еременко Денис Антипин Саша Киселев,28611,1242,810138,49
85,2022-09-10, Лев Еременко Дима Гаврилов Эдик Чернышенко Чермен Качмазов Тимур Джанкезов,29243,917,624249,49.5
86,2022-09-24, Лиза Аранова Дима Коваль Никита Дубровский Дима Колыбелкин Ярослава Тринадцатко,35580,801,732190,44
87,2022-10-08, Лев Еременко Денис Антипин Дима Колыбелкин Наташа Судьина Лиза Аранова,27032,1017,590184,50
88,2022-10-23, Дима Коваль Семен Деяк Вова Бухаров Николай Андреев Чермен Качмазов,37169,809,590555,56
